id,region,latitude,longitude,accommodation_type,cost,minimum_nights,number_of_reviews,reviews_per_month,owner_id,owned_hotels,yearly_availability
13232,Manhattan,40.718540000000004,-74.00439,Entire home/apt,170,5,7,0.56,929983,1,0
246,Brooklyn,40.644459999999995,-73.9503,Entire home/apt,65,3,238,2.3,281764,1,0
19091,Queens,40.78573,-73.81062,Private room,85,1,0,,19923341,1,1
34305,Manhattan,40.73863,-73.98002,Private room,210,30,0,,200380610,65,1
444,Manhattan,40.824259999999995,-73.9463,Shared room,75,3,38,0.42,745069,3,1
30553,Manhattan,40.73976,-74.00953,Private room,200,10,11,0.76,11243113,1,1
30500,Brooklyn,40.67913,-73.98015,Entire home/apt,95,1,8,0.52,1746811,2,0
48755,Manhattan,40.75288,-73.97269,Shared room,380,3,0,,273812306,1,0
3647,Manhattan,40.71735,-73.99095,Entire home/apt,79,1,259,3.93,11136429,1,0
2673,Queens,40.76781,-73.92684,Private room,70,20,75,1.05,7676839,1,1
47512,Brooklyn,40.63293,-73.97117,Private room,86,2,0,,117987098,1,1
39794,Brooklyn,40.68873,-73.96133,Shared room,100,5,1,0.15,65775049,2,0
22760,Manhattan,40.72948,-74.00961,Private room,195,30,1,0.25,22541573,87,1
39743,Manhattan,40.72886,-73.99139,Private room,179,1,0,,213781715,33,1
36514,Bronx,40.87072,-73.89974000000001,Shared room,65,2,0,,9808458,4,1
45327,Manhattan,40.72757,-73.98336,Private room,150,31,0,,261589968,1,1
37393,Manhattan,40.7662,-73.94676,Shared room,250,3,2,0.31,84077949,1,0
36840,Manhattan,40.75985,-73.99799,Private room,170,12,1,0.11,53621734,1,1
20351,Manhattan,40.736129999999996,-74.00711,Private room,220,28,2,0.08,65811347,1,1
27292,Manhattan,40.7237,-73.99454,Entire home/apt,200,5,7,0.36,70844761,1,0
22422,Brooklyn,40.70091,-73.92215,Entire home/apt,60,2,113,4.15,9630989,2,0
36096,Manhattan,40.78588,-73.97117,Private room,200,4,0,,133762456,1,1
32401,Queens,40.667320000000004,-73.77813,Shared room,60,1,6,0.45,123506305,3,1
27574,Manhattan,40.73057,-74.00458,Entire home/apt,199,3,16,0.81,10974696,1,0
10483,Manhattan,40.80083,-73.95584000000001,Private room,250,1,22,0.47,42237225,1,1
47237,Bronx,40.82754,-73.82124,Private room,65,1,1,1.0,244116720,1,1
39386,Brooklyn,40.69979,-73.93158000000001,Entire home/apt,130,3,4,0.63,133972014,1,0
2365,Manhattan,40.80815,-73.96779000000001,Private room,170,30,4,0.07,6142196,1,0
16745,Brooklyn,40.62023,-73.99103000000001,Entire home/apt,73,1,65,3.49,61393656,1,0
23462,Brooklyn,40.6949,-73.9116,Private room,65,5,20,0.78,56076854,2,1
2261,Queens,40.74361,-73.91662,Private room,150,30,9,0.12,3864301,2,1
28503,Brooklyn,40.646879999999996,-74.00209,Entire home/apt,150,3,5,0.27,20689561,1,0
38973,Brooklyn,40.7066,-73.94625,Entire home/apt,150,2,9,1.27,67727548,1,0
1433,Brooklyn,40.718270000000004,-73.96259,Private room,350,2,3,0.04,3225114,1,1
22198,Bronx,40.8709,-73.89945999999999,Shared room,60,2,11,0.52,9808458,4,1
37831,Manhattan,40.74563,-73.98342,Entire home/apt,300,1,14,1.92,225150700,1,0
27116,Brooklyn,40.667190000000005,-73.93913,Entire home/apt,109,2,22,1.17,10456843,1,0
38,Brooklyn,40.63702,-73.96327,Private room,150,1,0,,45445,1,1
12664,Manhattan,40.72145,-74.00231,Private room,200,1,16,0.83,1317360,2,1
22308,Manhattan,40.73953,-74.00841,Private room,170,30,1,0.36,766182,1,1
749,Brooklyn,40.71073,-73.96207,Private room,190,1,30,0.33,1315849,2,1
18043,Manhattan,40.73085,-74.00079000000001,Private room,174,360,0,,85235313,1,1
12064,Brooklyn,40.71801,-73.9526,Private room,375,1,23,0.52,8237570,2,1
23895,Brooklyn,40.728120000000004,-73.95619,Entire home/apt,225,5,7,0.29,3820994,1,0
2139,Brooklyn,40.70162,-73.99465,Private room,100,180,0,,1417489,1,1
36680,Manhattan,40.73288,-73.98250999999999,Entire home/apt,59,5,18,2.01,219717193,2,0
18470,Manhattan,40.70782,-74.01525,Private room,189,30,1,1.0,30283594,121,1
